ESNTL_NO,WRD_NM,AFRM_SCORE_VALUE,NEGA_SCORE_VALUE
"56925","클린턴","0.00051","0.00048"
"56926","클린트","0.00005","0.00006"
"56927","클림트","0.00075","0.00195"
"56928","클림프","0.00001","0.00000"
"56929","클립","0.00057","0.00041"
"56930","클립보드","0.00001","0.00000"
"56931","클링","0.00006","0.00006"
"56932","클링온","0.00001","0.00000"
"56933","큼직큼직","0.00009","0.00006"
"56934","큼큼","0.00001","0.00002"
"56935","킁킁","0.00049","0.00015"
"56936","킁킁거리다","0.00009","0.00009"
"56937","킁킁대다","0.00003","0.00002"
"56938","킁킁이","0.00010","0.00000"
"56939","키나","0.00003","0.00000"
"56940","키네마","0.00004","0.00000"
"56941","키네틱","0.00001","0.00000"
"56942","키노","0.00007","0.00006"
"56943","키노트","0.00003","0.00002"
"56944","키니","0.00006","0.00002"
"56945","키다","0.00468","0.00407"
"56946","키더","0.00001","0.00002"
"56947","키덜트","0.00004","0.00000"
"56948","키드","0.00137","0.00065"
"56949","키드먼","0.00011","0.00007"
"56950","키득","0.00016","0.00009"
"56951","키득거리다","0.00032","0.00026"
"56952","키득대다","0.00004","0.00007"
"56953","키득키득","0.00078","0.00039"
"56954","키디","0.00005","0.00011"
"56955","키라","0.00185","0.00100"
"56956","키라라","0.00002","0.00002"
"56957","키란","0.00001","0.00000"
"56958","키런","0.00006","0.00011"
"56959","키로로","0.00001","0.00006"
"56960","키루스","0.00019","0.00002"
"56961","키르기스스탄","0.00003","0.00006"
"56962","키르스텐","0.00003","0.00004"
"56963","키르케","0.00033","0.00004"
"56964","키르케고르","0.00026","0.00043"
"56965","키르히너","0.00001","0.00000"
"56966","키르히호프","0.00004","0.00006"
"56967","키리","0.00016","0.00017"
"56968","키리노","0.00002","0.00002"
"56969","키리바시","0.00002","0.00000"
"56970","키리코","0.00004","0.00000"
"56971","키린","0.00005","0.00002"
"56972","키릴","0.00002","0.00000"
"56973","키마이라","0.00003","0.00002"
"56974","키메","0.00007","0.00011"
"56975","키메라","0.00010","0.00004"
"56976","키모토","0.00002","0.00000"
"56977","키몬","0.00001","0.00000"
"56978","키무라","0.00003","0.00002"
"56979","키미","0.00014","0.00007"
"56980","키미코","0.00013","0.00030"
"56981","키바","0.00005","0.00002"
"56982","키베라","0.00002","0.00000"
"56983","키보드","0.00049","0.00058"
"56984","키부","0.00002","0.00000"
"56985","키사","0.00003","0.00002"
"56986","키샤","0.00000","0.00009"
"56987","키세스","0.00002","0.00000"
"56988","키숀","0.00001","0.00004"
"56989","키쉬","0.00001","0.00004"
"56990","키슈","0.00002","0.00000"
"56991","키스","0.00241","0.00353"
"56992","키스톤","0.00001","0.00002"
"56993","키스트","0.00004","0.00006"
"56994","키시가","0.00005","0.00000"
